,title,rating,time,price,calories,sodium,fat,protein,carbs,personal_rating,ingredients,url
103,One-Pan Garlic-Parmesan Asparagus,4.5,22.0,8.72,80.0,350.0,4.5,4,8,"[['Aubs', 4.0], ['Robert chunn', 5.0], ['Nicole Service', 5.0], ['Christian Garcia', 5.0], ['Jennifer', 5.0], ['Steven Williams', 5.0], ['Jennine Cabrera', 5.0], ['Katie Mellema', 5.0], ['Brendan Listermann', 5.0], ['Christopher Marrero', 4.0], ['Leah Thomson', 4.0], ['Thorne', 5.0], ['Amanda S.', 4.0], ['Rocío Cano', 4.0]]","['garlic ', 'asparagus ', 'olive oil ', 'salt ', 'black pepper ', 'grated Parmesan cheese ']",https://www.yummly.com/recipe/One-Pan-Garlic-Parmesan-Asparagus-9029419
106,"Vegan Chickpea ""Meatloaf""",3.5,75.0,32.35,380.0,320.0,8.0,18,62,"[['Alex Hayes', 5.0], ['Robert Kelly', 3.0], ['Veronica L.', 1.0], ['Johnny R.', 1.0], ['Rock Francis', 5.0], ['Siobhan King', 5.0], ['Dawn H.', 5.0]]","['nonstick cooking spray ', 'garbanzo beans ', 'panko breadcrumbs ', 'unsweetened almond milk ', 'ground flaxseeds ', 'ketchup ', 'tamari ', 'vegan Worcestershire sauce ', 'garlic powder ', 'onion powder ', 'dried oregano ', 'black pepper ', 'cayenne ', 'ketchup ', 'ketchup ']",https://www.yummly.com/recipe/Vegan-Chickpea-_Meatloaf_-9083673
107,Sheet Pan French Toast for a Crowd,4.5,28.0,35.71,150.0,125.0,9.0,4,13,"[['Karen Gibson', 4.0], ['Narjess', 5.0], ['Jendrey', 5.0], ['M AlT', 5.0], ['Emily Schlager', 5.0], ['Sarah :.', 5.0], ['Valentina Palacio', 5.0], ['Debbie C.', 5.0], ['yc l.', 5.0], ['Cel', 5.0], ['Eddie', 5.0]]","['challa ', 'butter ', 'eggs ', 'whole milk ', 'sugar ', 'cinnamon ', 'vanilla extract ', 'salt ', 'maple syrup ']",https://www.yummly.com/recipe/Sheet-Pan-French-Toast-for-a-Crowd-9029521
109,Easy Sesame-Glazed Roast Vegetables,3.0,35.0,30.9,160.0,570.0,7.0,4,23,"[['Enedelia Sanchez', 5.0], ['Joy', 5.0], ['Lia', 5.0], ['Kimberly Dorsey', 4.0], ['Jen', 5.0], ['Max', 1.0], ['Bama F.', 5.0], ['Karen Riley', 1.0]]","['green bell pepper ', 'red bell pepper ', 'red onion ', 'broccoli florets ', 'sesame oil ', 'honey ', 'reducedsodium soy sauce ', 'garlic powder ', 'ground ginger ']",https://www.yummly.com/recipe/Easy-Sesame-Glazed-Roast-Vegetables-9029549
113,Chewy-Crispy Peanut Butter Cookies,4.5,25.0,26.41,410.0,260.0,21.0,7,49,"[['Charles Tribbey', 5.0], ['Sydney Wagner', 5.0], ['Dee Gorham', 5.0], ['Kirra Hall', 4.0], ['Ismael', 4.0], ['Shahima A.', 5.0], ['Phillips', 4.0], ['Mari Scott', 5.0], ['Karli R.', 4.0], ['Jillian Currier', 5.0], ['Davidson', 4.0], ['Delerue', 5.0], ['Jessica Blesses', 5.0], ['Norelys', 5.0], ['Jeannette Eberle', 4.0], ['Johnson', 5.0], ['Loshbaugh', 5.0], ['Regina H.', 5.0], ['Sarah McChesney', 5.0], ['sup', 5.0], ['Melissa F.', 4.0], ['Kryszak', 5.0], ['Sue', 5.0], ['Alex D.', 5.0], ['Edgy Boi', 4.0], ['Jennifer Sue', 5.0], ['Jack Abu-Aldenein', 5.0], ['Rachel Wsf', 4.0], ['Rose', 4.0], ['Sophie Binns', 5.0]]","['unsalted butter ', 'creamy peanut butter ', 'granulated sugar ', 'light brown sugar ', 'honey ', 'vanilla extract ', 'eggs ', 'allpurpose flour ', 'baking soda ', 'salt ']",https://www.yummly.com/recipe/Chewy-Crispy-Peanut-Butter-Cookies-9029511
114,Cheesy Egg And Hashbrown Casserole,4.5,50.0,12.15,300.0,580.0,20.0,14,16,"[['Aneka Stuart', 5.0], ['Stephanie Vizcarra', 4.0], ['Cathelencia Francisque', 5.0], ['Rory B.', 4.0], ['Michelle Danko', 5.0], ['Jordan', 4.0]]","['butter ', 'frozen hash brown potatoes ', 'eggs ', 'whole milk ', 'salt ', 'black pepper ', 'shredded cheddar cheese ']",https://www.yummly.com/recipe/Cheesy-Egg-And-Hashbrown-Casserole-9029559
116,Best Ever Chocolate Chip Blondies,5.0,50.0,20.05,400.0,240.0,21.0,4,53,"[['Ashley Y.', 5.0], ['zahra naderi', 5.0], ['Pate', 5.0], ['SH', 5.0], ['Joe Falletta', 5.0], ['Melissa Guyre', 5.0]]","['nonstick cooking spray ', 'granulated sugar ', 'light brown sugar ', 'vanilla extract ', 'unsalted butter ', 'large egg ', 'allpurpose flour ', 'corn starch ', 'baking soda ', 'salt ', 'chocolate chips ']",https://www.yummly.com/recipe/Best-Ever-Chocolate-Chip-Blondies-9029524
117,Smoked Sausage Alfredo with Hillshire Farm® Smoked Sausage,4.5,15.0,22.58,350.0,150.0,21.0,9,31,"[['Nicholas', 5.0], ['Keenan', 5.0], ['Kim', 4.0], ['Christie-Lee K.', 4.0], ['Paige Redwine', 5.0], ['Rae', 1.0], ['Krcil', 5.0], ['Robert Kelly', 5.0], ['Marina Diaz', 5.0], ['Cara Rivera', 5.0], ['Judit Schmidt', 5.0], ['Trisha L.', 4.0], ['Shadow Fire', 4.0], ['Chef E', 4.0], ['Robert Freeland', 4.0], ['Courtney Wason', 4.0], ['Lu', 5.0], ['Israel', 5.0], ['Vicky McKinnon', 5.0], ['chris w.', 5.0], ['Linda', 5.0], ['Rita Black', 5.0], ['alicia k.', 5.0], ['Amanda Mumberson', 4.0], ['Kalin', 5.0], ['Randy K.', 5.0], ['Christine', 5.0], ['Jennifer Medders', 5.0], ['Mark Miller', 5.0], ['Megan Dye', 5.0]]","['chives ', 'Hillshire Farm Smoked Sausage ', 'pasta ', 'heavy cream ', 'cajun seasoning ', 'grated Parmesan cheese ', 'cherry tomatoes ']",https://www.yummly.com/recipe/Smoked-Sausage-Alfredowith-Hillshire-Farm-Smoked-Sausage-9057797
121,"Easy Sheet Pan Greek Chicken with Grape Tomatoes, Artichoke Hearts, and Red Onion",4.5,35.0,32.31,500.0,980.0,29.0,44,18,"[['Clark Potter', 5.0], ['JamieLee', 5.0], ['N', 4.0], ['ginny', 5.0], ['Brian Hempel', 5.0], ['Laura Richards', 5.0], ['Joshua Bibbee', 4.0], ['Caviglioli', 5.0], ['Costello', 5.0], ['Brett Bagwell', 5.0], ['Erika L.', 4.0], ['Lisa Baker', 5.0], ['Jake Moore', 4.0], ['Joe Yanos', 4.0], ['User Testing Chef', 5.0], ['Wall', 5.0]]","['chicken breasts ', 'salt ', 'black pepper ', 'grape tomatoes ', 'red onion ', 'artichoke hearts ', 'salt ', 'black pepper ', 'garlic ', 'olive oil ', 'red wine vinegar ', 'balsamic vinegar ', 'dried oregano ', 'dried dill ', 'pitted kalamata olives ', 'feta cheese crumbles ']",https://www.yummly.com/recipe/Easy-Sheet-Pan-Greek-Chicken-with-Grape-Tomatoes_-Artichoke-Hearts_-and-Red-Onion-9084764
122,Dairy-Free Herb-Stuffed Mushrooms,4.5,36.0,19.39,20.0,125.0,1.5,1,2,"[['Malach', 5.0], ['Gayle Rafferty', 4.0], ['Rebecca', 5.0], ['Drina', 5.0], ['Jessica DeWitt', 5.0], ['Vikky Engebretson', 5.0]]","['cremini mushrooms ', 'dayold baguette ', 'dried parsley ', 'dried thyme ', 'garlic powder ', 'salt ', 'black pepper ', 'egg ', 'mayonnaise ', 'Dijon mustard ']",https://www.yummly.com/recipe/Dairy-Free-Herb-Stuffed-Mushrooms-9029483
124,Apple Cinnamon Muffins,4.5,33.0,49.26,240.0,280.0,11.0,3,33,"[['Giselle Allen', 4.0], ['Ana Licul', 5.0], ['Coty Vance', 4.0], ['Vaneza Garcia', 5.0], ['Melissa Longo', 5.0], ['Karen W.', 4.0]]","['unsalted butter ', 'light brown sugar ', 'vanilla extract ', 'large eggs ', 'sour cream ', 'milk ', 'all purpose flour ', 'cinnamon ', 'ground nutmeg ', 'ground cloves ', 'allspice ', 'baking powder ', 'baking soda ', 'salt ', 'Granny Smith apples ']",https://www.yummly.com/recipe/Apple-Cinnamon-Muffins-2440472
126,Parmesan Crusted Baked Pork Chops,4.5,35.0,11.45,430.0,860.0,35.0,22,5,"[['antonio matthews', 4.0], ['Leah', 4.0], ['Tighe', 4.0], ['Larracuente-Ocasio', 5.0], ['Judy Gomez', 4.0], ['Lois S.', 5.0], ['Patil', 5.0], ['Sam Flatt', 5.0], ['KIM', 5.0], ['DabQueenSyren Leier', 5.0], ['06', 5.0], ['Rita Stites', 5.0], ['Wendy', 5.0], ['Victoria', 5.0]]","['bonein pork chops ', 'salt ', 'black pepper ', 'panko bread crumbs ', 'grated Parmesan cheese ', 'garlic powder ', 'black pepper ', 'salted butter ']",https://www.yummly.com/recipe/Parmesan-Crusted-Baked-Pork-Chops-2465569
129,Quick Margherita Naan Pizza,5.0,19.0,31.12,50.0,135.0,0.5,2,10,"[['Zach Dabrowski', 5.0], ['Marcus Hanna', 5.0], ['JaxBox', 5.0], ['Margaux', 5.0], ['Hope', 5.0], ['Zoe', 5.0], ['Edison', 5.0], ['Jon Wolfsen', 5.0], ['Sky P', 5.0], ['Cristobal Rendon', 5.0], ['Rodrigo Espinoza', 5.0], ['Kayla Furmanek', 5.0], ['Ana Santiago-Akyurek', 5.0], ['Anthony Sanchez', 5.0], ['Jordan Van Daalen', 5.0], ['Keri Ann', 5.0], ['Оля Балєнсіага', 5.0]]","['naan ', 'olive oil ', 'pizza sauce ', 'fresh mozzarella cheese ', 'large tomato ', 'garlic ', 'basil leaves ', 'sea salt flakes ']",https://www.yummly.com/recipe/Quick-Margherita-Naan-Pizza-9029495
130,Double Chocolate Chip Cookies,4.5,27.0,28.15,410.0,230.0,21.0,5,60,"[['ShirleyRudowicz', 1.0], ['KB', 5.0], ['alejandra canela', 5.0], ['Dodd', 5.0], ['Jene', 5.0]]","['unsalted butter ', 'light brown sugar ', 'granulated sugar ', 'eggs ', 'vanilla extract ', 'all purpose flour ', 'unsweetened cocoa powder ', 'baking soda ', 'cornstarch ', 'salt ', 'chocolate chips ', 'flaky sea salt ']",https://www.yummly.com/recipe/Double-Chocolate-Chip-Cookies-2684104
133,Easy Pork Chops with Roasted Vegetables,4.5,42.0,14.19,470.0,1020.0,33.0,23,23,"[['Blake Bowles', 5.0], ['Rachel Haberman', 5.0], ['Leon Tomić', 4.0], ['Michael Floyd', 5.0], ['Laura Tolbert', 5.0], ['Jessica K.', 5.0], ['Williamson', 5.0], ['Perez', 4.0], ['Stephanie Mejia', 5.0], ['Johnson', 5.0], ['Laura Hampel', 4.0], ['Jim', 5.0], ['Dora', 4.0], ['Greg Miller', 5.0], ['Renee Latham', 4.0], ['Arona Niang', 5.0], ['Samantha Hern', 4.0], ['Walker', 4.0]]","['mixed vegetables ', 'olive oil ', 'salt ', 'black pepper ', 'bonein pork chops ', 'garlic powder ', 'paprika ']",https://www.yummly.com/recipe/Easy-Pork-Chops-with-Roasted-Vegetables-2465566
138,Baked Ziti Alfredo,4.5,48.0,37.54,760.0,950.0,38.0,29,73,"[['Kristin Baker', 5.0], ['Junge', 5.0], ['Lorina Taylor', 5.0], ['Tammy Predovic', 5.0], ['Jojo P', 5.0], ['Bo Foss', 5.0], ['Michael Floyd', 5.0], ['Greetings Supreme Overlord', 4.0], ['Loren', 5.0], ['Alexis', 5.0], ['Kiara', 5.0]]","['ziti ', 'salt ', 'unsalted butter ', 'all purpose flour ', 'whole milk ', 'heavy cream ', 'cream cheese ', 'grated Parmesan cheese ', 'shredded mozzarella cheese ', 'black pepper ', 'garlic powder ']",https://www.yummly.com/recipe/Baked-Ziti-Alfredo-2684077
139,Easy Baked Salmon with Herb Butter,4.5,22.0,17.69,300.0,360.0,21.0,23,4,"[['PassionateFoodie', 5.0], ['Daryl B.', 5.0], ['Darian Banks', 5.0], ['Cheroya davenpoort', 5.0], ['Cave', 5.0], ['Connie Goodsell', 4.0], ['kat!', 4.0], ['User Testing Chef', 5.0]]","['salmon fillets ', 'salt ', 'black pepper ', 'black pepper ', 'unsalted butter ', 'fresh herbs ', 'garlic ', 'lemon ']",https://www.yummly.com/recipe/Easy-Baked-Salmon-with-Herb-Butter-9029456
141,Cinnamon Roll Cookies,4.5,32.0,27.09,320.0,210.0,14.0,3,45,"[['Emily Heffner', 5.0], ['Noah Wilson', 5.0], ['Nicolae Rusnac', 3.0], ['Kerri R', 5.0], ['Steven', 3.0], ['Knight Woods', 5.0], ['Tilly', 4.0], ['Shahima', 5.0], ['Dan', 5.0], ['Jessica Decker', 5.0], ['Sarah Major', 4.0], ['Babkak The Magnificent', 5.0], ['Kari b Dickson', 4.0], ['Leason', 3.0], ['Mrs. B', 5.0], ['gigi', 5.0]]","['unsalted butter ', 'granulated sugar ', 'egg ', 'vanilla extract ', 'all purpose flour ', 'baking soda ', 'salt ', 'light brown sugar ', 'ground cinnamon ', 'unsalted butter ', 'powdered sugar ', 'milk ']",https://www.yummly.com/recipe/Cinnamon-Roll-Cookies-2376887
147,Sheet Pan Italian Chicken Dinner,4.5,25.0,44.7,620.0,780.0,30.0,75,8,"[['Theresa H.', 4.0], ['Amy Powell', 5.0], ['Nellie Thorpe', 5.0], ['Irena', 5.0], ['Mindy Huffman', 5.0], ['Hip Hippie', 5.0], ['Kate', 5.0], ['Maika Sakuraba', 3.0], ['Dunno', 2.0], ['Cordis Miller', 5.0], ['Maly Pimentel', 5.0], ['K.', 5.0], ['Lindsey’s Kitchen', 5.0], ['Tiffany Beavor', 5.0], ['Mike L.', 4.0], ['Timothy Janas', 5.0]]","['boneless skinless chicken breast ', 'extra virgin olive oil ', 'balsamic vinegar ', 'garlic powder ', 'dried parsley ', 'dried basil ', 'dried oregano ', 'salt ', 'black pepper ', 'cherry tomatoes ', 'fresh mozzarella ', 'fresh basil leaves ', 'cracked black pepper ']",https://www.yummly.com/recipe/Sheet-Pan-Italian-Chicken-Dinner-9130689
154,Fat-Free Seasoned Sweet Potato Fries,4.5,30.0,7.23,110.0,360.0,0.5,3,25,"[['Yazc', 5.0], ['Chrismaly Vidal', 4.0], ['Esterhuyse', 4.0], ['Annie Banda', 5.0], ['Bionca Bradley', 4.0], ['Kala Rowe', 5.0], ['Sanders', 5.0], ['Chisom Nwankwo', 5.0], ['Xav', 3.0], ['Lorie A.', 5.0], ['Jane Thompson', 3.0], ['Breakfast, Lunch, Dinner And Desserts', 5.0], ['Tyron Schwartz', 5.0], ['Melissa', 5.0]]","['sweet potatoes ', 'garlic powder ', 'salt ', 'paprika ', 'black pepper ', 'nonstick cooking spray ']",https://www.yummly.com/recipe/Fat-Free-Seasoned-Sweet-Potato-Fries-9029470
157,Sesame Fried Egg and Mushroom Quinoa Bowls,5.0,45.0,32.5,650.0,1270.0,30.0,31,68,"[['Meysam Poorkavoos', 5.0], ['Nakeisha Hay', 5.0], ['Tina Bhakta', 5.0], ['Abigail Cachia', 5.0], ['Desniege Joseph', 5.0]]","['yellow onion ', 'toasted sesame oil ', 'large eggs ', 'vegetable oil ', 'chicken broth ', 'mirin ', 'soy sauce ', 'vegetable oil ', 'salt ', 'quinoa ', 'cremini mushrooms ', 'unsalted butter ', 'black pepper ', 'salt ', 'garlicinfused oil ', 'frozen edamame ', 'salt ', 'roasted seaweed ', 'green onion ', 'black sesame seeds ', 'toasted sesame oil ']",https://www.yummly.com/recipe/Sesame-Fried-Egg-and-Mushroom-Quinoa-Bowls-9124897
159,Basic Roasted Chicken,4.5,100.0,18.99,570.0,610.0,41.0,44,4,"[['Jo LeRoy', 5.0], ['Sydney', 3.0], ['Tara D.', 4.0], ['Lee', 5.0], ['Maerinez', 5.0]]","['roasting chicken ', 'garlic ', 'salt ', 'black pepper ', 'butter ', 'olive oil ', 'onion ', 'fresh parsley ', 'fresh thyme ', 'lemon ']",https://www.yummly.com/recipe/Basic-Roasted-Chicken-2376893
161,Classic Apple Pie,4.5,87.0,39.55,450.0,340.0,21.0,6,63,"[['Christine Eggestein', 4.0], ['Richard', 5.0], ['Camila Cornejo', 2.0], ['Mairym F.', 5.0], ['The Introverted Cupcake', 5.0], ['Padfoot', 5.0], ['Jason L.', 5.0], ['gabrielle', 5.0], ['Jamie Stricklen', 1.0], ['Adi Nahum', 5.0], ['Matt B.', 5.0], ['Alene Fernandis', 5.0]]","['pie crust ', 'granny smith apples ', 'lemon ', 'granulated sugar ', 'brown sugar ', 'allpurpose flour ', 'cinnamon ', 'nutmeg ', 'allspice ', 'ground cloves ', 'salt ', 'eggs ', 'water ', 'vanilla ice cream ']",https://www.yummly.com/recipe/Classic-Apple-Pie-9029499
164,Vegan Black Bean Enchiladas,4.5,60.0,24.05,100.0,470.0,2.5,5,15,"[['Michael S.', 5.0], ['Angelique Wheeler', 5.0], ['monica russo', 5.0], ['Tayla Macbeth', 5.0], ['McKenzie B.', 4.0], ['Stacy Merchant', 5.0], ['Cienna Davis', 5.0], ['Leigh Wood', 5.0], ['Brandalyn Vande Hei', 5.0], ['Jennie', 5.0], ['Ashley L.', 5.0], ['Amy Arnold', 5.0], ['Rochlen', 4.0], ['Ciara', 5.0], ['lindsay', 5.0], ['Joyce Thong', 3.0], ['Desniege Joseph', 5.0], ['Laura Baker', 5.0], ['samm h.', 5.0], ['Lively', 5.0], ['Tomas Lekstutis', 5.0], ['Amanda Cole', 5.0], ['Crystal Herron', 5.0], ['Radcliffe', 5.0], ['Kevin Lewis', 5.0], ['Haymond', 5.0], ['Erin', 5.0], ['Keera Bonar', 5.0], ['Mandy Screven', 5.0], ['Greg & Karol', 5.0]]","['red enchilada sauce ', 'red onion ', 'red bell pepper ', 'jalapeno pepper ', 'garlic cloves ', 'olive oil ', 'black beans ', 'Hatch mild diced green chiles ', 'salt ', 'black pepper ', 'ground cumin ', 'ground coriander ', 'dried oregano ', 'soft corn tortillas ', 'finely chopped cilantro ']",https://www.yummly.com/recipe/Vegan-Black-Bean-Enchiladas-9116010
165,Skillet Chicken Tacos,4.5,30.0,13.59,330.0,800.0,15.0,23,24,"[['Sean Owen', 5.0], ['Nachila Ortiz', 5.0], ['Lynley', 5.0], ['rezist la victoriei', 5.0], ['Bris', 5.0], ['Rhonda', 5.0], ['Philip Aston', 4.0], ['Lilah Hedgison', 4.0], ['Merisa Early', 5.0], ['Faizan Sheikh', 5.0], ['Natalie Adams', 5.0], ['Grimm', 3.0], ['Kesha NewJourney', 4.0], ['Kelly', 2.0], ['Renee', 5.0], ['Ricky Ricardo', 5.0], ['Ben & Kelsey Smith', 5.0], ['Hali Kirk', 5.0], ['Brandon Koski', 5.0], ['Mark M.', 5.0], ['patrice d.', 5.0], ['Brad', 5.0], ['Wil McGriff', 4.0], ['Joshua Epkins', 5.0], ['Tyler', 4.0], ['Judy Yu', 1.0], ['Deandre Small', 5.0], ['Vo', 5.0], ['Sarah Weinberg', 5.0], ['Sanam Owens', 5.0]]","['Tyson Fresh Boneless Skinless Chicken Thighs ', 'taco seasoning mix ', 'water ', 'flour tortillas ', 'refried beans ', 'Mexican cheese blend ']",https://www.yummly.com/recipe/Skillet-Chicken-Tacos-9063800
171,Cheesy Gluten-Free Cauliflower Crust Pizzas,4.5,65.0,34.53,80.0,380.0,3.0,4,9,"[['Nunez Paredes', 5.0], ['Swetha V.', 5.0], ['Gabrielle Lafreniere', 3.0], ['rezist la victoriei', 4.0], ['Grant Kreeger', 5.0], ['Carney', 4.0], ['Nekole Chavez', 5.0], ['Laura Borges', 5.0], ['Ella', 5.0], ['Fabiënne van Hooren', 4.0], ['Davide Aimar', 4.0], ['Kristin Cook', 4.0], ['Nate Garrett', 3.0], ['Seitz', 5.0], ['Madu', 5.0], ['Speedhunter', 5.0], ['Gardner', 4.0], ['Christina', 5.0], ['Meghan Jolley J.', 5.0], ['Uf G Ug', 5.0], ['User Testing Chef', 5.0]]","['frozen riced cauliflower ', 'garlic powder ', 'salt ', 'black pepper ', 'eggs ', 'corn starch ', 'egg whites ', 'pizza sauce ', 'mozzarella cheese ', 'Italian seasoning ']",https://www.yummly.com/recipe/Cheesy-Gluten-Free-Cauliflower-Crust-Pizzas-9029482
172,Easy Chicken Enchiladas Verdes,4.5,42.0,23.27,450.0,990.0,26.0,24,30,"[['Wagner', 4.0], ['KB', 5.0], ['Oliver Moreau', 5.0], ['Barragree', 5.0], ['Osborne', 5.0], ['Allison Whisler', 5.0], ['Allison', 5.0], ['SteveW', 4.0], ['Summer T.', 5.0]]","['salsa verde ', 'rotisserie chicken ', 'sour cream ', 'ground cumin ', 'ground coriander ', 'garlic powder ', 'shredded Mexican style cheese ', 'soft corn tortillas ', 'shredded Mexican style cheese ', 'cilantro ']",https://www.yummly.com/recipe/Easy-Chicken-Enchiladas-Verdes-9083652
174,Classic Creamy Chicken Pot Pie,4.5,87.0,28.2,350.0,430.0,23.0,12,25,"[['traci', 4.0], ['JoAnn', 5.0], ['Max Kass', 5.0], ['Matt', 5.0], ['Joshua Edwards', 5.0], ['T', 5.0], ['grabits', 5.0], ['Jackie', 5.0], ['Alek Corona', 5.0], ['Nikia W.', 5.0], ['Susie Noles', 5.0], ['Paige Reinert', 4.0], ['Kirsten', 5.0], ['Kellie Roesler', 5.0], ['Holly', 5.0], ['Lisa Vinton', 5.0], ['Laurie Wardle', 5.0], ['Paprika114 ..', 5.0], ['Gfg', 5.0], ['Roxanne D', 5.0], ['Melody', 4.0], ['Emma English', 5.0], ['Betty Martinez', 5.0], ['chandler akel', 5.0], ['Sherry Banner', 5.0], ['Davidson', 4.0], ['Jane', 2.0], ['Darrell A.', 5.0], ['Zamina', 4.0]]","['pie crust ', 'rotisserie chicken ', 'small yellow onion ', 'medium carrot ', 'celery ', 'garlic ', 'fresh thyme leaves ', 'salt ', 'black pepper ', 'unsalted butter ', 'frozen peas ', 'frozen corn ', 'allpurpose flour ', 'chicken broth ', 'heavy cream ']",https://www.yummly.com/recipe/Classic-Creamy-Chicken-Pot-Pie-9029501
180,Blueberry Coffee Cake,4.5,55.0,37.93,350.0,220.0,15.0,4,49,"[['Michalina Gil', 5.0], ['Violet Aragon', 5.0], ['Rangan', 5.0], ['Gess', 1.0], ['Cheryl M.', 5.0]]","['nonstick cooking spray ', 'unsalted butter ', 'granulated sugar ', 'vanilla extract ', 'large eggs ', 'sour cream ', 'cake flour ', 'baking powder ', 'baking soda ', 'salt ', 'fresh blueberries ', 'all purpose flour ', 'light brown sugar ', 'granulated sugar ', 'cinnamon ', 'salt ', 'unsalted butter ']",https://www.yummly.com/recipe/Blueberry-Coffee-Cake-9115995
181,Sopapilla Cheesecake Bars,4.5,60.0,17.56,390.0,240.0,27.0,3,36,"[['Lynn Schouten', 5.0], ['Deborah Holland', 4.0], ['McFarland', 5.0], ['Sean Clifton', 5.0], ['Brandi Whitfield', 4.0]]","['refrigerated crescent roll dough ', 'cream cheese ', 'granulated sugar ', 'vanilla extract ', 'refrigerated crescent roll dough ', 'butter ', 'granulated sugar ', 'cinnamon ']",https://www.yummly.com/recipe/Sopapilla-Cheesecake-Bars-9085194
196,"Chicken, Bacon, and Pesto Potato Skins",3.5,115.0,21.4,350.0,480.0,21.0,16,24,"[['Matt G', 4.0], ['jason', 4.0], [""Renee' Melroy"", 5.0], ['Arielle Nunn', 5.0], ['KidChef', 1.0], ['Jeffrey Crouch', 4.0]]","['russet potatoes ', 'bacon ', 'nonstick cooking spray ', 'salt ', 'black pepper ', 'sour cream ', 'basil pesto ', 'salt ', 'black pepper ', 'cooked chicken ', 'shredded cheddar cheese ', 'shredded cheddar cheese ']",https://www.yummly.com/recipe/Chicken_-Bacon_-and-Pesto-Potato-Skins-9092199
197,Garlic-Butter Baked Chicken Breasts with Cheese,4.5,35.0,21.47,300.0,400.0,16.0,36,1,"[['pamela kent', 5.0], ['Juan Concepcion', 4.0], ['Leah Larson', 4.0], ['Crystal Jacox', 5.0], ['Lady', 4.0], ['Ivy Flores', 5.0], ['Melissa Fandrey', 5.0], ['Karleigh Sohnrey', 5.0], ['Stephon Schoonmaker', 4.0], ['Stan Jacobs', 5.0], ['Heather Comartin', 4.0], ['danielle', 5.0], ['Chris Bussanich', 5.0], ['Jen', 5.0], ['Amanda Lloyd', 5.0], ['My Princess', 5.0], ['Griff', 5.0], ['Ms. Rheine', 5.0]]","['nonstick cooking spray ', 'boneless skinless chicken breasts ', 'sea salt ', 'black pepper ', 'salted butter ', 'garlic ', 'Italian seasoning ', 'shredded cheese ']",https://www.yummly.com/recipe/Garlic-Butter-Baked-Chicken-Breasts-with-Cheese-9092202
198,Super Easy Banana Muffins,4.5,41.0,78.27,210.0,250.0,8.0,3,30,"[['Honey', 5.0], ['Nika', 5.0], ['Maysah Wilsenack', 5.0], ['Clay Berlo', 5.0], ['Connor', 5.0], ['Nancy Redfern', 5.0], ['andreea u.', 5.0], ['Sue Morgan', 5.0], ['Megan', 5.0], ['Mireilly Smith Adrover', 4.0], ['Deborah Holland', 4.0], ['wambui', 4.0], ['Kim Rious', 5.0], ['Marie Rose Mikhael', 5.0], ['Steven M.', 5.0], ['McArdle', 5.0], ['Nichelle Skarsgård', 5.0], ['Lily Villarreal', 5.0], ['Parisa Moradi', 5.0], ['Banfe', 5.0], ['Kenneth', 5.0], ['tanya t.', 5.0], ['Rodina Bryant', 5.0], ['Ode-el', 5.0], ['Berving', 5.0], ['Morgan Hudson', 5.0], ['Jennifer Tubbs', 5.0], ['Marcello De Wit', 5.0], ['Simon Due', 5.0], ['Dawn', 5.0]]","['large bananas ', 'canola oil ', 'granulated sugar ', 'light brown sugar ', 'vanilla extract ', 'large eggs ', 'allpurpose flour ', 'cinnamon ', 'baking powder ', 'baking soda ', 'salt ']",https://www.yummly.com/recipe/Super-Easy-Banana-Muffins-9029432
202,Easy Honey-Balsamic Asparagus,4.5,22.0,16.12,80.0,300.0,3.5,3,11,"[['Campbell', 5.0], ['Haro', 5.0], ['Benjamin J.', 4.0], ['Clare L.', 4.0], ['Patrick S.', 4.0], ['Vicky', 4.0], ['Lauren Renslow', 4.0], ['Kaur', 5.0], ['Colleen Helgason', 5.0], ['tre trigga', 5.0], ['Paul LoPresti', 5.0], ['Daniel', 5.0], ['R Davis', 4.0], ['Nicole Reitnauer', 4.0], ['Jellila K.', 5.0], ['Linnea Curtiss', 5.0], ['Vereen', 5.0], ['Friedrichsen', 5.0], ['Ruth Rangan', 5.0], ['Mary', 4.0], ['Paulina M.', 5.0], ['Donna T.', 5.0]]","['garlic ', 'asparagus ', 'olive oil ', 'salt ', 'black pepper ', 'balsamic vinegar ', 'honey ']",https://www.yummly.com/recipe/Easy-Honey-Balsamic-Asparagus-9029420
